Year,OldGrowth,SeconGrowth,Total,Colour
1901,84.6,NA,84.64,#E35E00
1902,52.1,NA,52.06,#E35F00
1903,59.5,NA,59.54,#E36000
1904,73,NA,72.96000000000001,#E36200
1905,106,NA,106.02,#E36300
1906,96.2,NA,96.19,#E46400
1907,100.7,NA,100.7,#E46600
1908,172.2,NA,172.19,#E46700
1909,177.5,NA,177.51,#E46900
1910,205.7,NA,205.72,#E56A00
1911,173.2,NA,173.22,#E56B00
1912,86,NA,85.96000000000001,#E56D00
1913,202.8,NA,202.79,#E56E00
1914,112.3,NA,112.26,#E67000
1915,265.6,NA,265.59,#E67100
1916,283,NA,282.96999999999997,#E67200
1917,243,NA,242.97,#E67400
1918,224.1,NA,224.07,#E77500
1919,95.2,NA,95.21000000000001,#E77600
1920,117.7,NA,117.72,#E77800
1921,270.4,NA,270.40999999999997,#E77900
1922,238.2,NA,238.2,#E87B00
1923,314.5,NA,314.47999999999996,#E87C00
1924,517.6,NA,517.59,#E87D00
1925,90.9,NA,90.88,#E87F00
1926,697.9,NA,697.9,#E98000
1927,313.3,NA,313.33,#E98200
1928,364.1,NA,364.12,#E98300
1929,296.1,NA,296.06,#E98400
1930,642.6,NA,642.58,#EA8600
1931,442.1,NA,442.13,#EA8700
1932,120.1,NA,120.13,#EA8900
1933,65.9,NA,65.91000000000001,#EA8A00
1934,533.9,NA,533.8599999999999,#EA8B00
1935,1475.2,NA,1475.24,#EB8D00
1936,679.9,NA,679.9499999999999,#EB8E00
1937,713.3,NA,713.3199999999999,#EB8F00
1938,564.2,NA,564.2,#EB9100
1939,106.2,NA,106.2,#EC9200
1940,1522.8,NA,1522.83,#EC9400
1941,592.2,NA,592.22,#EC9500
1942,695.9,NA,695.9399999999999,#EC9600
1943,316.4,NA,316.41999999999996,#ED9800
1944,399.4,NA,399.36,#ED9900
1945,1123.5,NA,1123.46,#ED9B00
1946,1197.2,NA,1197.25,#ED9C00
1947,847.7,NA,847.6700000000001,#EE9D00
1948,1439,NA,1439.05,#EE9F00
1949,1406.4,NA,1406.3899999999999,#EEA000
1950,1339.4,NA,1339.37,#EEA200
1951,1493.9,NA,1493.8899999999999,#EFA300
1952,852,NA,852.01,#EFA400
1953,1606,NA,1605.97,#EFA600
1954,2266.8,NA,2266.82,#EFA700
1955,2068.2,NA,2068.2,#F0A800
1956,3102.5,NA,3102.5,#F0AA00
1957,1746.9,NA,1746.8799999999999,#F0AB00
1958,2109.4,NA,2109.4,#F0AD00
1959,1551.9,NA,1551.8899999999999,#F1AE00
1960,1909.3,NA,1909.31,#F1AF00
1961,1252.2,NA,1252.1699999999998,#F1B100
1962,1358.6,NA,1358.61,#F1B200
1963,1903.8,NA,1903.83,#F1B400
1964,1885,NA,1885,#F2B500
1965,1937.3,NA,1937.27,#F2B600
1966,2776.5,NA,2776.46,#F2B800
1967,2209.3,NA,2209.25,#F2B900
1968,1803.7,NA,1803.73,#F3BA00
1969,2103.2,NA,2103.2,#F3BC00
1970,1701,NA,1701.04,#F3BD00
1971,2247.6,NA,2247.59,#F3BF00
1972,2409.9,NA,2409.8700000000003,#F4C000
1973,2578.7,NA,2578.73,#F4C100
1974,4091,NA,4090.98,#F4C300
1975,2480,NA,2480.04,#F4C400
1976,3254.7,NA,3254.74,#F5C600
1977,3443.7,NA,3443.73,#F5C700
1978,4103,NA,4102.96,#F5C800
1979,3707.6,NA,3707.64,#F5CA00
1980,3679.6,NA,3679.61,#F6CB00
1981,3362.5,NA,3362.52,#F6CD00
1982,3217.6,NA,3217.61,#F6CE00
1983,4110.2,NA,4110.2,#F6CF00
1984,4685.5,NA,4685.469999999999,#F7D100
1985,4623.1,NA,4623.09,#F7D200
1986,3752.4,NA,3752.3900000000003,#F7D300
1987,4506.3,NA,4506.35,#F7D500
1988,3809.5,NA,3809.5,#F8D600
1989,3556.2,NA,3556.24,#F8D800
1990,3019.5,NA,3019.46,#F8D900
1991,2928.6,NA,2928.56,#F8DA00
1992,3348.3,NA,3348.3,#F8DC00
1993,3616.5,NA,3616.52,#F9DD00
1994,2905.5,NA,2905.55,#F9DF00
1995,3108,NA,3108.05,#F9E000
1996,2843.4,NA,2843.4100000000003,#F9E100
1997,2438.1,NA,2438.09,#FAE300
1998,1819.4,NA,1819.3899999999999,#FAE400
1999,2070.4,NA,2070.4300000000003,#FAE600
2000,2470.6,NA,2470.57,#FAE700
2001,1964,NA,1963.98,#FBE800
2002,1923.3,NA,1923.26,#FBEA00
2003,1310.3,NA,1310.29,#FBEB00
2004,1983.4,66.1,2049.4900000000002,#FBEC00
2005,1781.7,85.5,1867.2,#FCEE00
2006,2605.3,63.4,2668.68,#FCEF00
2007,1406.6,33.7,1440.27,#FCF100
2008,1414.9,62.7,1477.62,#FCF200
2009,796.9,6.6,803.4399999999999,#FDF300
2010,1445.4,81.5,1526.86,#FDF500
2011,838.4,41.8,880.19,#FDF600
2012,1104.4,85.4,1189.81,#FDF800
2013,1406.4,416.4,1822.75,#FEF900
2014,783.2,284.6,1067.78,#FEFA00
2015,966.9,392.4,1359.35,#FEFC00
2016,1658.3,183.8,1842.08,#FEFD00
2017,166.3,76.6,242.96,#FFFF00
